County	State	Year	Population
Tripp County	South Dakota	2014	5499
Tripp County	South Dakota	2015	5434
Balance of Tripp County	South Dakota	2010	2336
Balance of Tripp County	South Dakota	2011	2326
Balance of Tripp County	South Dakota	2012	2274
Balance of Tripp County	South Dakota	2013	2276
Balance of Tripp County	South Dakota	2014	2279
Balance of Tripp County	South Dakota	2015	2250
Turner County	South Dakota	2010	8345
Turner County	South Dakota	2011	8371
Turner County	South Dakota	2012	8327
Turner County	South Dakota	2013	8351
Turner County	South Dakota	2014	8253
Turner County	South Dakota	2015	8209
Balance of Turner County	South Dakota	2010	3683
Balance of Turner County	South Dakota	2011	3707
Balance of Turner County	South Dakota	2012	3688
Balance of Turner County	South Dakota	2013	3713
Balance of Turner County	South Dakota	2014	3686
Balance of Turner County	South Dakota	2015	3664
Union County	South Dakota	2010	14488
Union County	South Dakota	2011	14611
Union County	South Dakota	2012	14857
Union County	South Dakota	2013	14812
Union County	South Dakota	2014	15020
Union County	South Dakota	2015	14909
Balance of Union County	South Dakota	2010	6967
Balance of Union County	South Dakota	2011	7104
Balance of Union County	South Dakota	2012	7298
Balance of Union County	South Dakota	2013	7355
Balance of Union County	South Dakota	2014	7491
Balance of Union County	South Dakota	2015	7443
Walworth County	South Dakota	2010	5450
Walworth County	South Dakota	2011	5571
Walworth County	South Dakota	2012	5460
Walworth County	South Dakota	2013	5493
Walworth County	South Dakota	2014	5508
Walworth County	South Dakota	2015	5443
Balance of Walworth County	South Dakota	2010	1054
Balance of Walworth County	South Dakota	2011	1080
Balance of Walworth County	South Dakota	2012	1058
Balance of Walworth County	South Dakota	2013	1064
Balance of Walworth County	South Dakota	2014	1066
Balance of Walworth County	South Dakota	2015	1060
Yankton County	South Dakota	2010	22453
Yankton County	South Dakota	2011	22506
Yankton County	South Dakota	2012	22595
Yankton County	South Dakota	2013	22680
Yankton County	South Dakota	2014	22695
Yankton County	South Dakota	2015	22702
Balance of Yankton County	South Dakota	2010	7049
Balance of Yankton County	South Dakota	2011	7078
Balance of Yankton County	South Dakota	2012	7123
Balance of Yankton County	South Dakota	2013	7169
Balance of Yankton County	South Dakota	2014	7192
Balance of Yankton County	South Dakota	2015	7202
Ziebach County	South Dakota	2010	2825
Ziebach County	South Dakota	2011	2838
Ziebach County	South Dakota	2012	2872
Ziebach County	South Dakota	2013	2831
Ziebach County	South Dakota	2014	2823
Ziebach County	South Dakota	2015	2803
Balance of Ziebach County	South Dakota	2010	1500
Balance of Ziebach County	South Dakota	2011	1506
Balance of Ziebach County	South Dakota	2012	1523
Balance of Ziebach County	South Dakota	2013	1500
Balance of Ziebach County	South Dakota	2014	1495
Balance of Ziebach County	South Dakota	2015	1484
Hartsville/Trousdale County	Tennessee	2010	7867
Hartsville/Trousdale County	Tennessee	2011	7809
Hartsville/Trousdale County	Tennessee	2012	7780
Hartsville/Trousdale County	Tennessee	2013	7785
Hartsville/Trousdale County	Tennessee	2014	8002
Hartsville/Trousdale County	Tennessee	2015	8042
Anderson County	Tennessee	2010	75154
Anderson County	Tennessee	2011	75222
Anderson County	Tennessee	2012	75354
Anderson County	Tennessee	2013	75443
Anderson County	Tennessee	2014	75382
Anderson County	Tennessee	2015	75749
Balance of Anderson County	Tennessee	2010	33411
Balance of Anderson County	Tennessee	2011	33478
Balance of Anderson County	Tennessee	2012	33552
Balance of Anderson County	Tennessee	2013	33617
Balance of Anderson County	Tennessee	2014	33613
Balance of Anderson County	Tennessee	2015	33749
Bedford County	Tennessee	2010	45103
Bedford County	Tennessee	2011	45279
Bedford County	Tennessee	2012	45327
Bedford County	Tennessee	2013	45712
Bedford County	Tennessee	2014	46428
Bedford County	Tennessee	2015	47183
Balance of Bedford County	Tennessee	2010	23436
Balance of Bedford County	Tennessee	2011	23502
Balance of Bedford County	Tennessee	2012	23545
Balance of Bedford County	Tennessee	2013	23772
Balance of Bedford County	Tennessee	2014	24168
Balance of Bedford County	Tennessee	2015	24542
Benton County	Tennessee	2010	16492
Benton County	Tennessee	2011	16421
Benton County	Tennessee	2012	16359
Benton County	Tennessee	2013	16281
Benton County	Tennessee	2014	16115
Benton County	Tennessee	2015	16129
Balance of Benton County	Tennessee	2010	12357
Balance of Benton County	Tennessee	2011	12304
Balance of Benton County	Tennessee	2012	12187
Balance of Benton County	Tennessee	2013	12128
Balance of Benton County	Tennessee	2014	11998
Balance of Benton County	Tennessee	2015	12012
Bledsoe County	Tennessee	2010	12870
Bledsoe County	Tennessee	2011	12837
Bledsoe County	Tennessee	2012	12786
Bledsoe County	Tennessee	2013	13778
Bledsoe County	Tennessee	2014	14526
Bledsoe County	Tennessee	2015	14502
Balance of Bledsoe County	Tennessee	2010	11263
Balance of Bledsoe County	Tennessee	2011	11232
Balance of Bledsoe County	Tennessee	2012	11186
Balance of Bledsoe County	Tennessee	2013	12171
Balance of Bledsoe County	Tennessee	2014	12900
Balance of Bledsoe County	Tennessee	2015	12866
Blount County	Tennessee	2010	123156
Blount County	Tennessee	2011	123623
Blount County	Tennessee	2012	123998
Blount County	Tennessee	2013	124943
Blount County	Tennessee	2014	126124
Blount County	Tennessee	2015	127253
Balance of Blount County	Tennessee	2010	80921
Balance of Blount County	Tennessee	2011	81274
Balance of Blount County	Tennessee	2012	81446
Balance of Blount County	Tennessee	2013	82048
Balance of Blount County	Tennessee	2014	82827
Balance of Blount County	Tennessee	2015	83151
Bradley County	Tennessee	2010	99155
Bradley County	Tennessee	2011	100009
Bradley County	Tennessee	2012	101222
Bradley County	Tennessee	2013	101929
Bradley County	Tennessee	2014	103058
Bradley County	Tennessee	2015	104091
Balance of Bradley County	Tennessee	2010	57138
Balance of Bradley County	Tennessee	2011	57333
Balance of Bradley County	Tennessee	2012	58053
Balance of Bradley County	Tennessee	2013	58484
Balance of Bradley County	Tennessee	2014	59141
Balance of Bradley County	Tennessee	2015	59517
Campbell County	Tennessee	2010	40716
Campbell County	Tennessee	2011	40570
Campbell County	Tennessee	2012	40439
Campbell County	Tennessee	2013	40211
Campbell County	Tennessee	2014	39910
Campbell County	Tennessee	2015	39752
Balance of Campbell County	Tennessee	2010	26555
Balance of Campbell County	Tennessee	2011	26515
Balance of Campbell County	Tennessee	2012	26486
Balance of Campbell County	Tennessee	2013	26401
Balance of Campbell County	Tennessee	2014	26280
Balance of Campbell County	Tennessee	2015	26255
Cannon County	Tennessee	2010	13800
Cannon County	Tennessee	2011	13746
Cannon County	Tennessee	2012	13848
Cannon County	Tennessee	2013	13783
Cannon County	Tennessee	2014	13718
Cannon County	Tennessee	2015	13840
Balance of Cannon County	Tennessee	2010	10852
Balance of Cannon County	Tennessee	2011	10799
Balance of Cannon County	Tennessee	2012	10866
Balance of Cannon County	Tennessee	2013	10798
Balance of Cannon County	Tennessee	2014	10729
Balance of Cannon County	Tennessee	2015	10809
Carroll County	Tennessee	2010	28466
Carroll County	Tennessee	2011	28569
Carroll County	Tennessee	2012	28608
Carroll County	Tennessee	2013	28472
Carroll County	Tennessee	2014	28207
Carroll County	Tennessee	2015	27910
Balance of Carroll County	Tennessee	2010	14688
Balance of Carroll County	Tennessee	2011	14599
Balance of Carroll County	Tennessee	2012	14599
Balance of Carroll County	Tennessee	2013	14576
Balance of Carroll County	Tennessee	2014	14496
Balance of Carroll County	Tennessee	2015	14332
Carter County	Tennessee	2010	57360
Carter County	Tennessee	2011	57483
Carter County	Tennessee	2012	57352
Carter County	Tennessee	2013	57025
Carter County	Tennessee	2014	56358
Carter County	Tennessee	2015	56486
Balance of Carter County	Tennessee	2010	41433
Balance of Carter County	Tennessee	2011	41443
Balance of Carter County	Tennessee	2012	41399
Balance of Carter County	Tennessee	2013	41306
Balance of Carter County	Tennessee	2014	40922
Balance of Carter County	Tennessee	2015	41029
Cheatham County	Tennessee	2010	39120
Cheatham County	Tennessee	2011	39000
Cheatham County	Tennessee	2012	39257
Cheatham County	Tennessee	2013	39396
Cheatham County	Tennessee	2014	39714
Cheatham County	Tennessee	2015	39741
Balance of Cheatham County	Tennessee	2010	25498
Balance of Cheatham County	Tennessee	2011	25414
Balance of Cheatham County	Tennessee	2012	25574
Balance of Cheatham County	Tennessee	2013	25688
Balance of Cheatham County	Tennessee	2014	25902
Balance of Cheatham County	Tennessee	2015	25919
Chester County	Tennessee	2010	17173
Chester County	Tennessee	2011	17212
Chester County	Tennessee	2012	17210
Chester County	Tennessee	2013	17349
Chester County	Tennessee	2014	17379
Chester County	Tennessee	2015	17471
Balance of Chester County	Tennessee	2010	10575
Balance of Chester County	Tennessee	2011	10544
Balance of Chester County	Tennessee	2012	10531
Balance of Chester County	Tennessee	2013	10596
Balance of Chester County	Tennessee	2014	10598
Balance of Chester County	Tennessee	2015	10650
Claiborne County	Tennessee	2010	32234
Claiborne County	Tennessee	2011	32084
Claiborne County	Tennessee	2012	31723
Claiborne County	Tennessee	2013	31598
Claiborne County	Tennessee	2014	31624
Claiborne County	Tennessee	2015	31709
Balance of Claiborne County	Tennessee	2010	22096
Balance of Claiborne County	Tennessee	2011	21984
Balance of Claiborne County	Tennessee	2012	21728
Balance of Claiborne County	Tennessee	2013	21632
Balance of Claiborne County	Tennessee	2014	21610
Balance of Claiborne County	Tennessee	2015	21584
Clay County	Tennessee	2010	7843
Clay County	Tennessee	2011	7819
Clay County	Tennessee	2012	7796
Clay County	Tennessee	2013	7775
Clay County	Tennessee	2014	7740
Clay County	Tennessee	2015	7771
Balance of Clay County	Tennessee	2010	6351
Balance of Clay County	Tennessee	2011	6329
Balance of Clay County	Tennessee	2012	6309
Balance of Clay County	Tennessee	2013	6290
Balance of Clay County	Tennessee	2014	6260
Balance of Clay County	Tennessee	2015	6277
Cocke County	Tennessee	2010	35660
Cocke County	Tennessee	2011	35385
Cocke County	Tennessee	2012	35463
Cocke County	Tennessee	2013	35309
Cocke County	Tennessee	2014	35285
Cocke County	Tennessee	2015	35162
Balance of Cocke County	Tennessee	2010	28454
Balance of Cocke County	Tennessee	2011	28235
Balance of Cocke County	Tennessee	2012	28296
Balance of Cocke County	Tennessee	2013	28176
Balance of Cocke County	Tennessee	2014	28161
Balance of Cocke County	Tennessee	2015	28067
Coffee County	Tennessee	2010	52778
Coffee County	Tennessee	2011	52880
Coffee County	Tennessee	2012	53125
Coffee County	Tennessee	2013	53321
Coffee County	Tennessee	2014	53638
Coffee County	Tennessee	2015	54277
Balance of Coffee County	Tennessee	2010	25273
Balance of Coffee County	Tennessee	2011	25307
Balance of Coffee County	Tennessee	2012	25428
Balance of Coffee County	Tennessee	2013	25523
Balance of Coffee County	Tennessee	2014	25635
Balance of Coffee County	Tennessee	2015	25885
Crockett County	Tennessee	2010	14584
Crockett County	Tennessee	2011	14556
Crockett County	Tennessee	2012	14611
Crockett County	Tennessee	2013	14597
Crockett County	Tennessee	2014	14635
Crockett County	Tennessee	2015	14601
Balance of Crockett County	Tennessee	2010	7843
Balance of Crockett County	Tennessee	2011	7829
Balance of Crockett County	Tennessee	2012	7862
Balance of Crockett County	Tennessee	2013	7856
Balance of Crockett County	Tennessee	2014	7876
Balance of Crockett County	Tennessee	2015	7855
Cumberland County	Tennessee	2010	56198
Cumberland County	Tennessee	2011	56604
Cumberland County	Tennessee	2012	57048
Cumberland County	Tennessee	2013	57478
Cumberland County	Tennessee	2014	57915
Cumberland County	Tennessee	2015	58229
Balance of Cumberland County	Tennessee	2010	43971
Balance of Cumberland County	Tennessee	2011	44201
Balance of Cumberland County	Tennessee	2012	44550
Balance of Cumberland County	Tennessee	2013	44891
Balance of Cumberland County	Tennessee	2014	45241
Balance of Cumberland County	Tennessee	2015	45496
Davidson County	Tennessee	2010	628131
Davidson County	Tennessee	2011	635799
Davidson County	Tennessee	2012	649318
Davidson County	Tennessee	2013	659428
Davidson County	Tennessee	2014	669094
Davidson County	Tennessee	2015	678889
Decatur County	Tennessee	2010	11729
Decatur County	Tennessee	2011	11683
Decatur County	Tennessee	2012	11658
Decatur County	Tennessee	2013	11701
Decatur County	Tennessee	2014	11730
Decatur County	Tennessee	2015	11660
Balance of Decatur County	Tennessee	2010	8133
Balance of Decatur County	Tennessee	2011	8102
Balance of Decatur County	Tennessee	2012	8086
Balance of Decatur County	Tennessee	2013	8118
Balance of Decatur County	Tennessee	2014	8141
Balance of Decatur County	Tennessee	2015	8094
DeKalb County	Tennessee	2010	18717
DeKalb County	Tennessee	2011	18795
DeKalb County	Tennessee	2012	18903
DeKalb County	Tennessee	2013	19098
DeKalb County	Tennessee	2014	19211
DeKalb County	Tennessee	2015	19182
Balance of DeKalb County	Tennessee	2010	12556
Balance of DeKalb County	Tennessee	2011	12606
Balance of DeKalb County	Tennessee	2012	12677
Balance of DeKalb County	Tennessee	2013	12807
Balance of DeKalb County	Tennessee	2014	12900
Balance of DeKalb County	Tennessee	2015	12888
Dickson County	Tennessee	2010	49697
Dickson County	Tennessee	2011	49934
Dickson County	Tennessee	2012	50153
Dickson County	Tennessee	2013	50195
Dickson County	Tennessee	2014	50592
Dickson County	Tennessee	2015	51487
Balance of Dickson County	Tennessee	2010	28291
Balance of Dickson County	Tennessee	2011	28423
Balance of Dickson County	Tennessee	2012	28536
Balance of Dickson County	Tennessee	2013	28491
Balance of Dickson County	Tennessee	2014	28731
Balance of Dickson County	Tennessee	2015	29164
Dyer County	Tennessee	2010	38321
Dyer County	Tennessee	2011	38142
Dyer County	Tennessee	2012	38237
Dyer County	Tennessee	2013	38132
Dyer County	Tennessee	2014	37868
Dyer County	Tennessee	2015	37893
Balance of Dyer County	Tennessee	2010	17240
Balance of Dyer County	Tennessee	2011	17177
Balance of Dyer County	Tennessee	2012	17242
Balance of Dyer County	Tennessee	2013	17227
Balance of Dyer County	Tennessee	2014	17119
Balance of Dyer County	Tennessee	2015	17156
Fayette County	Tennessee	2010	38408
Fayette County	Tennessee	2011	38526
Fayette County	Tennessee	2012	38615
Fayette County	Tennessee	2013	38765
Fayette County	Tennessee	2014	38999
Fayette County	Tennessee	2015	39165
Balance of Fayette County	Tennessee	2010	24509
Balance of Fayette County	Tennessee	2011	24457
Balance of Fayette County	Tennessee	2012	24415
Balance of Fayette County	Tennessee	2013	24338
Balance of Fayette County	Tennessee	2014	24307
Balance of Fayette County	Tennessee	2015	24203
Fentress County	Tennessee	2010	17928
Fentress County	Tennessee	2011	18021
Fentress County	Tennessee	2012	17919
Fentress County	Tennessee	2013	17936
Fentress County	Tennessee	2014	17862
Fentress County	Tennessee	2015	17917
Balance of Fentress County	Tennessee	2010	15339
Balance of Fentress County	Tennessee	2011	15421
Balance of Fentress County	Tennessee	2012	15335
Balance of Fentress County	Tennessee	2013	15351
Balance of Fentress County	Tennessee	2014	15291
Balance of Fentress County	Tennessee	2015	15339
Franklin County	Tennessee	2010	40957
Franklin County	Tennessee	2011	40844
Franklin County	Tennessee	2012	40759
Franklin County	Tennessee	2013	41258
Franklin County	Tennessee	2014	41378
Franklin County	Tennessee	2015	41449
Balance of Franklin County	Tennessee	2010	24142
Balance of Franklin County	Tennessee	2011	24108
Balance of Franklin County	Tennessee	2012	24018
Balance of Franklin County	Tennessee	2013	24399
Balance of Franklin County	Tennessee	2014	24495
Balance of Franklin County	Tennessee	2015	24582
Gibson County	Tennessee	2010	49723
Gibson County	Tennessee	2011	49855
Gibson County	Tennessee	2012	49663
Gibson County	Tennessee	2013	49441
Gibson County	Tennessee	2014	49501
Gibson County	Tennessee	2015	49399
Balance of Gibson County	Tennessee	2010	19674
Balance of Gibson County	Tennessee	2011	19671
Balance of Gibson County	Tennessee	2012	19536
Balance of Gibson County	Tennessee	2013	19404
Balance of Gibson County	Tennessee	2014	19380
Balance of Gibson County	Tennessee	2015	19337
Giles County	Tennessee	2010	29398
Giles County	Tennessee	2011	29325
Giles County	Tennessee	2012	28926
Giles County	Tennessee	2013	28737
Giles County	Tennessee	2014	28811
Giles County	Tennessee	2015	28946
Balance of Giles County	Tennessee	2010	19065
Balance of Giles County	Tennessee	2011	19017
Balance of Giles County	Tennessee	2012	18789
Balance of Giles County	Tennessee	2013	18672
Balance of Giles County	Tennessee	2014	18738
Balance of Giles County	Tennessee	2015	18852
Grainger County	Tennessee	2010	22709
Grainger County	Tennessee	2011	22722
Grainger County	Tennessee	2012	22633
Grainger County	Tennessee	2013	22663
Grainger County	Tennessee	2014	22815
Grainger County	Tennessee	2015	22846
Balance of Grainger County	Tennessee	2010	16631
Balance of Grainger County	Tennessee	2011	16640
Balance of Grainger County	Tennessee	2012	16576
Balance of Grainger County	Tennessee	2013	16601
Balance of Grainger County	Tennessee	2014	16694
Balance of Grainger County	Tennessee	2015	16705
Greene County	Tennessee	2010	68834
Greene County	Tennessee	2011	68981
Greene County	Tennessee	2012	68643
Greene County	Tennessee	2013	68265
Greene County	Tennessee	2014	68413
Greene County	Tennessee	2015	68580
Balance of Greene County	Tennessee	2010	48323
Balance of Greene County	Tennessee	2011	48427
Balance of Greene County	Tennessee	2012	48192
Balance of Greene County	Tennessee	2013	47864
Balance of Greene County	Tennessee	2014	47929
Balance of Greene County	Tennessee	2015	48046
Grundy County	Tennessee	2010	13720
Grundy County	Tennessee	2011	13628
Grundy County	Tennessee	2012	13628
Grundy County	Tennessee	2013	13478
Grundy County	Tennessee	2014	13444
Grundy County	Tennessee	2015	13441
Balance of Grundy County	Tennessee	2010	6675
Balance of Grundy County	Tennessee	2011	6632
Balance of Grundy County	Tennessee	2012	6632
Balance of Grundy County	Tennessee	2013	6558
Balance of Grundy County	Tennessee	2014	6542
Balance of Grundy County	Tennessee	2015	6542
Hamblen County	Tennessee	2010	62558
Hamblen County	Tennessee	2011	62826
Hamblen County	Tennessee	2012	62718
Hamblen County	Tennessee	2013	63054
Hamblen County	Tennessee	2014	62994
Hamblen County	Tennessee	2015	63402
Balance of Hamblen County	Tennessee	2010	33584
Balance of Hamblen County	Tennessee	2011	33719
Balance of Hamblen County	Tennessee	2012	33631
Balance of Hamblen County	Tennessee	2013	33773
Balance of Hamblen County	Tennessee	2014	33731
Balance of Hamblen County	Tennessee	2015	33944
Hamilton County	Tennessee	2010	337313
Hamilton County	Tennessee	2011	340918
Hamilton County	Tennessee	2012	345752
Hamilton County	Tennessee	2013	349036
Hamilton County	Tennessee	2014	350800
Hamilton County	Tennessee	2015	354098
Balance of Hamilton County	Tennessee	2010	98145
Balance of Hamilton County	Tennessee	2011	99667
Balance of Hamilton County	Tennessee	2012	101454
Balance of Hamilton County	Tennessee	2013	103124
Balance of Hamilton County	Tennessee	2014	104136
Balance of Hamilton County	Tennessee	2015	105806
Hancock County	Tennessee	2010	6812
Hancock County	Tennessee	2011	6711
Hancock County	Tennessee	2012	6676
Hancock County	Tennessee	2013	6634
Hancock County	Tennessee	2014	6619
Hancock County	Tennessee	2015	6572
Balance of Hancock County	Tennessee	2010	5423
Balance of Hancock County	Tennessee	2011	5343
Balance of Hancock County	Tennessee	2012	5315
Balance of Hancock County	Tennessee	2013	5279
Balance of Hancock County	Tennessee	2014	5265
Balance of Hancock County	Tennessee	2015	5226
Hardeman County	Tennessee	2010	27158
Hardeman County	Tennessee	2011	26842
Hardeman County	Tennessee	2012	26523
Hardeman County	Tennessee	2013	26251
Hardeman County	Tennessee	2014	25941
Hardeman County	Tennessee	2015	25707
Balance of Hardeman County	Tennessee	2010	15123
Balance of Hardeman County	Tennessee	2011	14906
Balance of Hardeman County	Tennessee	2012	14709
Balance of Hardeman County	Tennessee	2013	14546
Balance of Hardeman County	Tennessee	2014	14359
Balance of Hardeman County	Tennessee	2015	14218
Hardin County	Tennessee	2010	26052
Hardin County	Tennessee	2011	25886
Hardin County	Tennessee	2012	26014
Hardin County	Tennessee	2013	26002
Hardin County	Tennessee	2014	25843
Hardin County	Tennessee	2015	25756
Balance of Hardin County	Tennessee	2010	17012
Balance of Hardin County	Tennessee	2011	16890
Balance of Hardin County	Tennessee	2012	16967
Balance of Hardin County	Tennessee	2013	16889
Balance of Hardin County	Tennessee	2014	16783
Balance of Hardin County	Tennessee	2015	16723
Hawkins County	Tennessee	2010	56872
Hawkins County	Tennessee	2011	56637
Hawkins County	Tennessee	2012	56569
Hawkins County	Tennessee	2013	56740
Hawkins County	Tennessee	2014	56558
Hawkins County	Tennessee	2015	56471
Balance of Hawkins County	Tennessee	2010	34855
Balance of Hawkins County	Tennessee	2011	34678
Balance of Hawkins County	Tennessee	2012	34618
Balance of Hawkins County	Tennessee	2013	34698
Balance of Hawkins County	Tennessee	2014	34583
Balance of Hawkins County	Tennessee	2015	34534
Haywood County	Tennessee	2010	18769
Haywood County	Tennessee	2011	18541
Haywood County	Tennessee	2012	18255
Haywood County	Tennessee	2013	18227
Haywood County	Tennessee	2014	18196
Haywood County	Tennessee	2015	18023
Balance of Haywood County	Tennessee	2010	8030
Balance of Haywood County	Tennessee	2011	7938
Balance of Haywood County	Tennessee	2012	7825
Balance of Haywood County	Tennessee	2013	7788
Balance of Haywood County	Tennessee	2014	7785
Balance of Haywood County	Tennessee	2015	7720
Henderson County	Tennessee	2010	27797
Henderson County	Tennessee	2011	28032
Henderson County	Tennessee	2012	28025
Henderson County	Tennessee	2013	27976
Henderson County	Tennessee	2014	28017
Henderson County	Tennessee	2015	28015
Balance of Henderson County	Tennessee	2010	18830
Balance of Henderson County	Tennessee	2011	18919
Balance of Henderson County	Tennessee	2012	18904
Balance of Henderson County	Tennessee	2013	18831
Balance of Henderson County	Tennessee	2014	18854
Balance of Henderson County	Tennessee	2015	18855
Henry County	Tennessee	2010	32381
Henry County	Tennessee	2011	32359
Henry County	Tennessee	2012	32353
Henry County	Tennessee	2013	32224
Henry County	Tennessee	2014	32261
Henry County	Tennessee	2015	32147
Balance of Henry County	Tennessee	2010	20890
Balance of Henry County	Tennessee	2011	20867
Balance of Henry County	Tennessee	2012	20857
Balance of Henry County	Tennessee	2013	20762
Balance of Henry County	Tennessee	2014	20772
Balance of Henry County	Tennessee	2015	20688
Hickman County	Tennessee	2010	24659
Hickman County	Tennessee	2011	24350
Hickman County	Tennessee	2012	24142
Hickman County	Tennessee	2013	24170
Hickman County	Tennessee	2014	24388
Hickman County	Tennessee	2015	24363
Balance of Hickman County	Tennessee	2010	21026
Balance of Hickman County	Tennessee	2011	20765
Balance of Hickman County	Tennessee	2012	20588
Balance of Hickman County	Tennessee	2013	20599
Balance of Hickman County	Tennessee	2014	20797
Balance of Hickman County	Tennessee	2015	20779
Houston County	Tennessee	2010	8444
Houston County	Tennessee	2011	8340
Houston County	Tennessee	2012	8420
Houston County	Tennessee	2013	8284
Houston County	Tennessee	2014	8258
Houston County	Tennessee	2015	8149
Balance of Houston County	Tennessee	2010	5743
Balance of Houston County	Tennessee	2011	5667
Balance of Houston County	Tennessee	2012	5719
Balance of Houston County	Tennessee	2013	5621
Balance of Houston County	Tennessee	2014	5602
Balance of Houston County	Tennessee	2015	5525
Humphreys County	Tennessee	2010	18573
Humphreys County	Tennessee	2011	18400
Humphreys County	Tennessee	2012	18299
Humphreys County	Tennessee	2013	18240
Humphreys County	Tennessee	2014	18128
Humphreys County	Tennessee	2015	18135
Balance of Humphreys County	Tennessee	2010	10763
Balance of Humphreys County	Tennessee	2011	10598
Balance of Humphreys County	Tennessee	2012	10543
Balance of Humphreys County	Tennessee	2013	10509
Balance of Humphreys County	Tennessee	2014	10447
Balance of Humphreys County	Tennessee	2015	10445
Jackson County	Tennessee	2010	11577
Jackson County	Tennessee	2011	11490
Jackson County	Tennessee	2012	11501
Jackson County	Tennessee	2013	11504
Jackson County	Tennessee	2014	11478
Jackson County	Tennessee	2015	11509
Balance of Jackson County	Tennessee	2010	10618
Balance of Jackson County	Tennessee	2011	10536
Balance of Jackson County	Tennessee	2012	10545
Balance of Jackson County	Tennessee	2013	10547
Balance of Jackson County	Tennessee	2014	10524
Balance of Jackson County	Tennessee	2015	10554
Jefferson County	Tennessee	2010	51608
Jefferson County	Tennessee	2011	51927
Jefferson County	Tennessee	2012	52289
Jefferson County	Tennessee	2013	52312
Jefferson County	Tennessee	2014	52680
Jefferson County	Tennessee	2015	53240
Balance of Jefferson County	Tennessee	2010	36471
Balance of Jefferson County	Tennessee	2011	36716
Balance of Jefferson County	Tennessee	2012	37002
Balance of Jefferson County	Tennessee	2013	36975
Balance of Jefferson County	Tennessee	2014	37285
Balance of Jefferson County	Tennessee	2015	37665
Johnson County	Tennessee	2010	18285
Johnson County	Tennessee	2011	18212
Johnson County	Tennessee	2012	18123
Johnson County	Tennessee	2013	18001
Johnson County	Tennessee	2014	17917
Johnson County	Tennessee	2015	17830
Balance of Johnson County	Tennessee	2010	15748
Balance of Johnson County	Tennessee	2011	15682
Balance of Johnson County	Tennessee	2012	15606
Balance of Johnson County	Tennessee	2013	15500
Balance of Johnson County	Tennessee	2014	15429
Balance of Johnson County	Tennessee	2015	15355
Knox County	Tennessee	2010	433035
Knox County	Tennessee	2011	436530
Knox County	Tennessee	2012	441097
Knox County	Tennessee	2013	444170
Knox County	Tennessee	2014	448617
Knox County	Tennessee	2015	451324
Balance of Knox County	Tennessee	2010	233373
Balance of Knox County	Tennessee	2011	235104
Balance of Knox County	Tennessee	2012	237872
Balance of Knox County	Tennessee	2013	239978
Balance of Knox County	Tennessee	2014	242479
Balance of Knox County	Tennessee	2015	244118
Lake County	Tennessee	2010	7820
Lake County	Tennessee	2011	7773
Lake County	Tennessee	2012	7708
Lake County	Tennessee	2013	7714
Lake County	Tennessee	2014	7664
Lake County	Tennessee	2015	7576
Balance of Lake County	Tennessee	2010	1570
Balance of Lake County	Tennessee	2011	1564
Balance of Lake County	Tennessee	2012	1537
Balance of Lake County	Tennessee	2013	1541
Balance of Lake County	Tennessee	2014	1549
Balance of Lake County	Tennessee	2015	1518
Lauderdale County	Tennessee	2010	27731
Lauderdale County	Tennessee	2011	27680
Lauderdale County	Tennessee	2012	27659
Lauderdale County	Tennessee	2013	27526
Lauderdale County	Tennessee	2014	27335
Lauderdale County	Tennessee	2015	26936
Balance of Lauderdale County	Tennessee	2010	15482
Balance of Lauderdale County	Tennessee	2011	15494
Balance of Lauderdale County	Tennessee	2012	15506
Balance of Lauderdale County	Tennessee	2013	15412
Balance of Lauderdale County	Tennessee	2014	15356
Balance of Lauderdale County	Tennessee	2015	15039
Lawrence County	Tennessee	2010	42005
Lawrence County	Tennessee	2011	42073
Lawrence County	Tennessee	2012	42154
Lawrence County	Tennessee	2013	42017
Lawrence County	Tennessee	2014	42323
Lawrence County	Tennessee	2015	42564
Balance of Lawrence County	Tennessee	2010	28599
Balance of Lawrence County	Tennessee	2011	28650
Balance of Lawrence County	Tennessee	2012	28707
Balance of Lawrence County	Tennessee	2013	28613
Balance of Lawrence County	Tennessee	2014	28819
Balance of Lawrence County	Tennessee	2015	28985
Lewis County	Tennessee	2010	12151
Lewis County	Tennessee	2011	12137
Lewis County	Tennessee	2012	11905
Lewis County	Tennessee	2013	11953
Lewis County	Tennessee	2014	11872
Lewis County	Tennessee	2015	11854
Balance of Lewis County	Tennessee	2010	8397
Balance of Lewis County	Tennessee	2011	8386
Balance of Lewis County	Tennessee	2012	8219
Balance of Lewis County	Tennessee	2013	8257
Balance of Lewis County	Tennessee	2014	8203
Balance of Lewis County	Tennessee	2015	8187
Lincoln County	Tennessee	2010	33420
Lincoln County	Tennessee	2011	33414
Lincoln County	Tennessee	2012	33438
Lincoln County	Tennessee	2013	33568
Lincoln County	Tennessee	2014	33589
Lincoln County	Tennessee	2015	33743
Balance of Lincoln County	Tennessee	2010	26090
Balance of Lincoln County	Tennessee	2011	26056
Balance of Lincoln County	Tennessee	2012	25874
Balance of Lincoln County	Tennessee	2013	25976
Balance of Lincoln County	Tennessee	2014	25995
Balance of Lincoln County	Tennessee	2015	26118
Loudon County	Tennessee	2010	48752
Loudon County	Tennessee	2011	49088
Loudon County	Tennessee	2012	49773
Loudon County	Tennessee	2013	50431
